Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
2GMEL,211,21101,211011446,SA2,Boronia,"2,742","2,408","1,216",101,308,"2,655","9,430",,"2,892","2,555","1,270",103,309,"2,834","9,964",,"3,046","2,647","1,350",107,310,"3,002","10,462",,"3,180","2,746","1,453",113,325,"3,197","11,013",,"3,335","2,935","1,564",123,355,"3,406","11,719"
2GMEL,211,21101,211011447,SA2,Ferntree Gully (North),"1,778","1,435",729,49,180,"1,576","5,747",,"1,837","1,537",757,50,182,"1,700","6,062",,"1,873","1,598",789,51,180,"1,817","6,308",,"1,898","1,659",833,52,183,"1,914","6,538",,"1,933","1,752",875,56,193,"2,009","6,817"
2GMEL,211,21101,211011448,SA2,Ferntree Gully (South) - Upper Ferntree Gully,"2,184","1,429",690,70,111,"1,081","5,565",,"2,139","1,544",697,73,111,"1,166","5,730",,"2,112","1,625",705,76,108,"1,243","5,870",,"2,098","1,678",715,80,106,"1,316","5,993",,"2,105","1,719",736,85,107,"1,376","6,128"
2GMEL,211,21101,211011449,SA2,The Basin,672,446,187,3,37,289,"1,635",,659,495,194,3,38,320,"1,708",,641,542,199,3,38,345,"1,768",,627,582,207,3,38,380,"1,836",,624,614,210,3,39,418,"1,908"
2GMEL,211,21102,211021261,SA2,Donvale - Park Orchards,"2,589","1,527",515,53,74,"1,038","5,796",,"2,547","1,650",524,55,76,"1,105","5,958",,"2,523","1,753",536,58,80,"1,176","6,126",,"2,538","1,845",537,59,82,"1,231","6,293",,"2,592","1,917",548,58,83,"1,265","6,464"
2GMEL,211,21102,211021262,SA2,Warrandyte - Wonga Park,"1,749",938,254,12,51,446,"3,449",,"1,664","1,082",254,14,57,503,"3,573",,"1,621","1,195",262,13,60,556,"3,707",,"1,619","1,269",266,13,59,602,"3,828",,"1,668","1,283",278,12,55,634,"3,930"
2GMEL,211,21103,211031263,SA2,Bayswater North,"1,734",991,585,55,117,"1,146","4,628",,"1,755","1,135",611,56,118,"1,286","4,961",,"1,768","1,261",642,55,117,"1,419","5,262",,"1,782","1,359",675,56,115,"1,543","5,530",,"1,808","1,450",710,58,118,"1,652","5,796"
2GMEL,211,21103,211031265,SA2,Croydon Hills - Warranwood,"3,049","1,574",657,53,108,910,"6,351",,"3,021","1,814",649,53,113,"1,002","6,652",,"3,039","1,998",644,51,114,"1,097","6,942",,"3,089","2,103",661,49,111,"1,185","7,198",,"3,166","2,152",695,50,109,"1,260","7,432"
2GMEL,211,21103,211031266,SA2,Ringwood,"2,180","1,759",787,104,319,"2,191","7,341",,"2,535","1,979",904,117,357,"2,444","8,336",,"2,824","2,170","1,023",127,387,"2,702","9,234",,"3,076","2,385","1,144",142,423,"2,985","10,155",,"3,323","2,672","1,257",158,469,"3,304","11,182"
2GMEL,211,21103,211031267,SA2,Ringwood East,"2,816","2,028",896,113,269,"1,943","8,064",,"2,924","2,126",942,118,277,"2,045","8,432",,"3,001","2,252",986,125,291,"2,159","8,814",,"3,081","2,414","1,036",135,309,"2,292","9,267",,"3,192","2,620","1,079",145,332,"2,425","9,792"
2GMEL,211,21103,211031268,SA2,Ringwood North,"1,546","1,003",340,22,67,566,"3,544",,"1,505","1,104",346,21,68,611,"3,656",,"1,486","1,179",352,22,69,658,"3,767",,"1,496","1,235",358,22,70,697,"3,878",,"1,537","1,285",370,23,73,723,"4,011"
2GMEL,211,21103,211031450,SA2,Croydon - East,"1,769","1,647",827,83,240,"2,137","6,703",,"1,949","1,762",892,86,251,"2,304","7,244",,"2,096","1,856",980,92,264,"2,459","7,748",,"2,226","1,999","1,067",101,287,"2,645","8,325",,"2,359","2,217","1,154",111,317,"2,879","9,038"
2GMEL,211,21103,211031451,SA2,Croydon - West,"1,749","1,377",636,47,142,"1,564","5,516",,"1,897","1,499",676,50,153,"1,682","5,957",,"2,058","1,605",718,53,162,"1,785","6,380",,"2,234","1,707",772,58,173,"1,889","6,834",,"2,423","1,840",846,62,189,"2,002","7,362"
2GMEL,211,21103,211031452,SA2,Croydon South,693,508,233,11,46,339,"1,830",,691,515,238,10,44,362,"1,861",,681,539,247,11,44,378,"1,900",,676,571,258,12,46,392,"1,954",,678,618,268,13,49,420,"2,046"
2GMEL,211,21104,211041269,SA2,Forest Hill,"1,467","1,033",463,65,155,"1,116","4,299",,"1,569","1,081",486,69,167,"1,141","4,512",,"1,676","1,142",512,73,177,"1,172","4,752",,"1,789","1,219",538,77,186,"1,218","5,027",,"1,897","1,303",568,81,194,"1,278","5,321"
2GMEL,211,21104,211041270,SA2,Mitcham (Vic.),"2,305","1,777",597,78,242,"1,730","6,729",,"2,436","1,871",629,82,254,"1,814","7,085",,"2,562","1,963",663,87,264,"1,910","7,449",,"2,689","2,086",702,92,278,"2,009","7,857",,"2,825","2,235",746,96,292,"2,127","8,321"
2GMEL,211,21104,211041271,SA2,Nunawading,"1,686","1,141",462,67,196,"1,186","4,738",,"1,789","1,224",487,72,208,"1,263","5,043",,"1,937","1,336",527,77,224,"1,374","5,475",,"2,070","1,455",569,83,238,"1,482","5,898",,"2,207","1,586",610,88,253,"1,589","6,334"
2GMEL,211,21104,211041272,SA2,Vermont,"1,676",952,407,27,100,830,"3,990",,"1,729",985,436,28,105,880,"4,164",,"1,754","1,043",458,33,116,934,"4,338",,"1,784","1,140",476,36,126,991,"4,555",,"1,855","1,236",485,37,130,"1,033","4,775"
2GMEL,211,21104,211041273,SA2,Vermont South,"1,826","1,255",392,33,82,680,"4,268",,"1,840","1,313",399,35,87,737,"4,411",,"1,901","1,304",413,34,87,784,"4,524",,"2,000","1,245",424,36,89,808,"4,603",,"2,116","1,207",435,37,95,803,"4,692"
2GMEL,211,21105,211051274,SA2,Belgrave - Selby,"1,561","1,005",414,38,83,600,"3,702",,"1,516","1,108",420,37,83,644,"3,807",,"1,479","1,189",417,34,84,704,"3,907",,"1,450","1,241",428,33,83,758,"3,993",,"1,427","1,293",432,32,83,810,"4,078"
2GMEL,211,21105,211051275,SA2,Chirnside Park,"1,458","1,110",401,44,71,653,"3,737",,"1,712","1,288",451,52,81,762,"4,346",,"1,905","1,392",492,54,86,837,"4,766",,"2,097","1,479",542,58,91,901,"5,167",,"2,262","1,564",591,62,95,958,"5,532"
2GMEL,211,21105,211051276,SA2,Healesville - Yarra Glen,"1,771","1,610",654,35,120,"1,398","5,588",,"1,802","1,825",696,39,129,"1,574","6,065",,"1,798","1,966",716,40,134,"1,709","6,363",,"1,817","2,084",740,42,140,"1,828","6,652",,"1,869","2,177",773,44,146,"1,924","6,933"
2GMEL,211,21105,211051277,SA2,Kilsyth,"1,142","1,030",471,37,82,"1,029","3,792",,"1,217","1,128",504,35,81,"1,141","4,106",,"1,260","1,157",535,36,80,"1,224","4,291",,"1,290","1,186",563,39,86,"1,299","4,463",,"1,339","1,244",588,44,92,"1,357","4,664"
2GMEL,211,21105,211051278,SA2,Lilydale - Coldstream,"2,655","1,984",888,66,144,"1,678","7,416",,"2,694","2,194",925,69,149,"1,854","7,885",,"3,028","2,581","1,043",78,167,"2,158","9,054",,"3,415","3,008","1,182",90,190,"2,513","10,398",,"3,818","3,444","1,328",101,213,"2,881","11,785"
2GMEL,211,21105,211051279,SA2,Monbulk - Silvan,827,638,217,18,49,366,"2,115",,801,674,213,17,48,383,"2,136",,778,710,214,18,48,396,"2,164",,766,738,221,18,47,418,"2,208",,760,760,227,18,47,433,"2,245"
2GMEL,211,21105,211051280,SA2,Montrose,"1,018",693,245,19,33,504,"2,512",,"1,019",732,251,19,32,533,"2,586",,"1,025",732,256,19,30,563,"2,625",,"1,039",730,259,20,30,591,"2,669",,"1,065",740,265,19,31,609,"2,730"
2GMEL,211,21105,211051281,SA2,Mooroolbark,"3,226","2,076","1,073",88,194,"1,539","8,196",,"3,407","2,265","1,130",90,201,"1,689","8,782",,"3,565","2,369","1,196",89,200,"1,813","9,233",,"3,725","2,448","1,281",92,205,"1,927","9,678",,"3,905","2,574","1,368",97,219,"2,029","10,192"
2GMEL,211,21105,211051282,SA2,Mount Dandenong - Olinda,"1,402","1,264",356,12,85,832,"3,951",,"1,345","1,347",350,12,85,865,"4,003",,"1,317","1,396",345,12,85,912,"4,066",,"1,313","1,407",357,13,85,965,"4,140",,"1,324","1,403",376,12,82,"1,009","4,206"
2GMEL,211,21105,211051283,SA2,Mount Evelyn,"1,503",943,385,26,54,626,"3,537",,"1,484","1,062",382,27,55,709,"3,718",,"1,475","1,152",388,25,55,789,"3,883",,"1,471","1,201",400,24,55,842,"3,994",,"1,481","1,226",422,23,54,889,"4,096"
2GMEL,211,21105,211051284,SA2,Upwey - Tecoma,"1,491",947,412,36,107,755,"3,748",,"1,464","1,034",421,33,107,842,"3,901",,"1,438","1,100",422,31,104,937,"4,033",,"1,402","1,167",437,32,104,"1,038","4,179",,"1,384","1,241",437,31,101,"1,121","4,315"
2GMEL,211,21105,211051285,SA2,Wandin - Seville,"1,205",797,256,17,37,438,"2,751",,"1,217",885,262,17,39,470,"2,888",,"1,227",969,264,17,39,514,"3,031",,"1,249","1,035",278,17,40,557,"3,175",,"1,284","1,085",295,17,39,594,"3,315"
2GMEL,211,21105,211051286,SA2,Yarra Valley,"2,002","1,740",891,43,192,"1,749","6,618",,"1,957","1,889",875,44,194,"1,879","6,838",,"1,920","1,995",863,45,194,"1,996","7,013",,"1,897","2,071",873,45,194,"2,112","7,191",,"1,912","2,121",898,46,192,"2,207","7,377"
2GMEL,212,21201,212011287,SA2,Beaconsfield - Officer,"2,134","1,172",501,46,110,713,"4,675",,"4,095","2,179",902,93,211,"1,281","8,761",,"6,038","2,962","1,306",121,279,"1,817","12,523",,"7,462","3,544","1,645",136,322,"2,250","15,360",,"8,415","4,030","1,930",147,349,"2,592","17,463"
2GMEL,212,21201,212011288,SA2,Bunyip - Garfield,"1,266",971,262,27,57,600,"3,183",,"1,367","1,144",284,31,63,686,"3,574",,"1,636","1,390",341,38,74,832,"4,311",,"2,128","1,761",444,46,91,"1,051","5,521",,"2,676","2,171",558,59,112,"1,302","6,879"
2GMEL,212,21201,212011289,SA2,Emerald - Cockatoo,"2,821","1,803",688,20,120,"1,042","6,492",,"2,829","1,988",699,21,127,"1,134","6,798",,"2,861","2,137",723,20,132,"1,229","7,103",,"2,920","2,238",765,21,136,"1,307","7,387",,"3,013","2,304",816,22,140,"1,374","7,669"
2GMEL,212,21201,212011290,SA2,Koo Wee Rup,"1,073",805,285,26,45,613,"2,847",,"1,314","1,021",353,32,56,768,"3,546",,"1,517","1,205",411,37,64,906,"4,139",,"1,705","1,366",468,39,71,"1,027","4,676",,"1,877","1,523",516,43,74,"1,149","5,182"
2GMEL,212,21201,212011291,SA2,Pakenham - North,"2,542","1,724","1,111",64,230,"1,449","7,120",,"3,274","2,138","1,409",78,276,"1,821","8,996",,"3,828","2,364","1,681",77,278,"2,183","10,411",,"4,153","2,725","1,986",82,325,"2,589","11,859",,"4,301","3,265","2,235",94,391,"3,013","13,299"
2GMEL,212,21201,212011292,SA2,Pakenham - South,"4,104","2,367","1,473",122,238,"2,137","10,441",,"4,786","2,816","1,733",145,277,"2,582","12,338",,"5,108","3,081","1,908",150,286,"2,905","13,438",,"5,201","3,396","2,052",162,311,"3,213","14,334",,"5,141","3,776","2,136",176,344,"3,492","15,066"
2GMEL,212,21202,212021293,SA2,Berwick - North,"3,338","2,373",911,86,157,"2,088","8,954",,"3,295","2,632",909,88,164,"2,266","9,355",,"3,281","2,866",903,87,167,"2,424","9,729",,"3,323","3,043",908,89,167,"2,564","10,093",,"3,400","3,187",932,93,169,"2,690","10,471"
2GMEL,212,21202,212021294,SA2,Berwick - South,"4,620","1,551",962,64,167,880,"8,243",,"5,086","1,979","1,144",76,202,"1,103","9,589",,"5,445","2,469","1,288",90,237,"1,344","10,872",,"5,787","3,010","1,414",104,270,"1,615","12,201",,"6,150","3,522","1,537",116,291,"1,860","13,476"
2GMEL,212,21202,212021295,SA2,Doveton,"1,264",848,702,105,280,"1,076","4,274",,"1,409",924,767,108,299,"1,156","4,663",,"1,555",978,840,112,310,"1,221","5,015",,"1,703","1,035",933,120,329,"1,294","5,415",,"1,864","1,122","1,036",128,353,"1,410","5,913"
2GMEL,212,21202,212021297,SA2,Hallam,"1,552",835,480,37,95,697,"3,696",,"1,600",937,503,39,98,772,"3,949",,"1,660","1,011",531,41,100,838,"4,181",,"1,757","1,079",569,44,106,909,"4,465",,"1,880","1,160",611,47,114,980,"4,793"
2GMEL,212,21202,212021299,SA2,Narre Warren North,"1,333",618,165,15,15,226,"2,371",,"1,365",758,173,15,18,267,"2,596",,"1,401",859,184,16,19,296,"2,775",,"1,468",923,196,16,18,320,"2,940",,"1,555",944,219,15,18,339,"3,091"
2GMEL,212,21202,212021453,SA2,Endeavour Hills - North,"1,915",948,522,42,92,596,"4,115",,"1,875","1,082",528,42,91,653,"4,272",,"1,858","1,179",537,42,89,699,"4,403",,"1,849","1,238",552,45,85,732,"4,501",,"1,852","1,286",566,47,83,746,"4,580"
2GMEL,212,21202,212021454,SA2,Endeavour Hills - South,"2,157","1,218",576,39,97,640,"4,728",,"2,103","1,349",565,34,94,698,"4,844",,"2,084","1,423",572,32,90,757,"4,957",,"2,067","1,469",587,31,88,804,"5,045",,"2,035","1,503",598,32,87,873,"5,128"
2GMEL,212,21202,212021455,SA2,Narre Warren - North East,"2,201","1,000",583,52,83,666,"4,585",,"2,196","1,185",613,55,91,762,"4,902",,"2,199","1,372",629,55,91,851,"5,198",,"2,233","1,509",650,55,87,929,"5,463",,"2,281","1,613",679,57,84,"1,009","5,723"
2GMEL,212,21202,212021456,SA2,Narre Warren - South West,"1,972","1,196",627,71,168,"1,070","5,104",,"2,135","1,374",681,77,182,"1,188","5,636",,"2,253","1,475",727,80,183,"1,281","5,997",,"2,365","1,550",771,80,185,"1,388","6,340",,"2,491","1,617",826,82,192,"1,487","6,695"
2GMEL,212,21203,212031300,SA2,Cranbourne,"2,656","1,609","1,196",117,248,"1,745","7,572",,"2,745","1,782","1,245",120,257,"1,921","8,071",,"2,846","1,946","1,314",126,269,"2,109","8,610",,"2,967","2,148","1,410",138,287,"2,329","9,279",,"3,136","2,380","1,516",148,313,"2,563","10,055"
2GMEL,212,21203,212031301,SA2,Cranbourne East,"4,220","2,166",858,95,177,"1,145","8,661",,"9,640","4,807","2,049",221,407,"2,457","19,580",,"13,749","6,602","3,090",297,553,"3,464","27,755",,"16,837","8,278","3,990",375,687,"4,358","34,525",,"18,578","9,860","4,606",426,781,"5,202","39,453"
2GMEL,212,21203,212031302,SA2,Cranbourne North,"3,320","1,271",923,75,124,899,"6,611",,"4,146","1,604","1,161",92,150,"1,134","8,287",,"4,632","1,927","1,411",98,165,"1,421","9,654",,"4,826","2,253","1,638",111,181,"1,687","10,697",,"4,853","2,626","1,810",128,200,"1,942","11,560"
2GMEL,212,21203,212031303,SA2,Cranbourne South,"1,410",880,247,19,49,462,"3,067",,"2,666","1,613",582,60,121,792,"5,833",,"4,755","2,490",999,92,189,"1,190","9,715",,"6,992","3,423","1,513",126,259,"1,660","13,973",,"9,138","4,477","2,067",162,333,"2,200","18,376"
2GMEL,212,21203,212031304,SA2,Cranbourne West,"2,390","1,108",682,61,129,677,"5,047",,"3,350","1,485",940,79,170,913,"6,936",,"3,862","1,634","1,198",87,174,"1,181","8,135",,"3,950","1,803","1,405",99,186,"1,391","8,834",,"3,889","2,151","1,543",112,217,"1,583","9,495"
2GMEL,212,21203,212031305,SA2,Hampton Park - Lynbrook,"3,925","1,462","1,260",122,232,"1,368","8,368",,"4,019","1,656","1,315",125,243,"1,532","8,889",,"4,039","1,795","1,343",124,244,"1,676","9,220",,"4,071","1,887","1,392",126,244,"1,792","9,513",,"4,148","1,970","1,467",129,246,"1,904","9,864"
2GMEL,212,21203,212031306,SA2,Lynbrook - Lyndhurst,"2,843",822,362,45,80,354,"4,507",,"3,166",934,435,37,74,430,"5,076",,"3,272","1,044",496,36,75,494,"5,418",,"3,189","1,186",541,47,89,555,"5,608",,"3,093","1,392",564,62,109,615,"5,836"
2GMEL,212,21203,212031308,SA2,Pearcedale - Tooradin,"1,185",787,303,19,55,553,"2,901",,"1,191",885,310,20,57,611,"3,074",,"1,205",978,322,19,60,671,"3,254",,"1,227","1,059",335,20,63,721,"3,426",,"1,262","1,141",347,21,68,770,"3,608"
2GMEL,212,21203,212031457,SA2,Narre Warren South (East),"2,371",775,390,44,45,286,"3,911",,"2,267",940,405,54,52,331,"4,048",,"2,224","1,115",410,60,57,384,"4,249",,"2,253","1,257",415,66,56,436,"4,482",,"2,335","1,348",427,69,52,473,"4,703"
2GMEL,212,21203,212031458,SA2,Narre Warren South (West),"2,795",943,647,42,88,488,"5,004",,"2,751","1,087",685,45,93,540,"5,201",,"2,695","1,245",692,47,100,603,"5,382",,"2,690","1,395",702,49,102,656,"5,594",,"2,741","1,517",714,48,103,708,"5,830"
2GMEL,212,21204,212041309,SA2,Clarinda - Oakleigh South,"1,746","1,044",531,78,116,764,"4,278",,"1,738","1,122",530,77,113,817,"4,397",,"1,737","1,170",536,76,108,858,"4,486",,"1,748","1,196",545,77,107,894,"4,569",,"1,766","1,219",556,81,109,922,"4,652"
2GMEL,212,21204,212041310,SA2,Clayton South,"1,708","1,194",510,115,317,891,"4,736",,"1,890","1,252",543,119,327,940,"5,071",,"2,213","1,369",635,132,353,"1,056","5,758",,"2,606","1,572",771,156,411,"1,231","6,746",,"2,817","1,702",851,172,450,"1,338","7,331"
2GMEL,212,21204,212041311,SA2,Dandenong,"3,741","2,121","1,362",243,897,"3,021","11,385",,"4,311","2,353","1,515",263,981,"3,305","12,728",,"4,940","2,565","1,741",287,"1,053","3,638","14,224",,"5,551","2,794","2,016",314,"1,140","4,024","15,840",,"6,122","3,126","2,317",347,"1,241","4,495","17,648"
2GMEL,212,21204,212041312,SA2,Dandenong North,"3,138","1,874","1,173",152,253,"1,629","8,219",,"3,199","2,002","1,199",151,254,"1,740","8,544",,"3,262","2,082","1,237",151,251,"1,835","8,818",,"3,338","2,120","1,285",151,250,"1,919","9,063",,"3,418","2,167","1,331",156,256,"1,981","9,309"
2GMEL,212,21204,212041313,SA2,Dingley Village,"1,611","1,050",386,21,62,822,"3,952",,"1,619","1,121",394,20,63,859,"4,075",,"1,638","1,171",400,20,62,899,"4,191",,"1,662","1,201",415,22,62,935,"4,297",,"1,689","1,237",429,22,64,968,"4,409"
2GMEL,212,21204,212041314,SA2,Keysborough,"4,178","1,943","1,021",135,186,"1,144","8,607",,"4,965","2,322","1,213",159,220,"1,359","10,240",,"5,599","2,550","1,380",171,237,"1,537","11,475",,"5,966","2,635","1,490",179,244,"1,648","12,162",,"6,329","2,743","1,589",187,255,"1,738","12,841"
2GMEL,212,21204,212041316,SA2,Noble Park North,"1,037",676,432,64,67,604,"2,880",,"1,053",703,452,62,66,635,"2,972",,"1,076",728,468,62,66,664,"3,065",,"1,104",758,494,64,67,689,"3,176",,"1,146",803,516,68,71,713,"3,316"
2GMEL,212,21204,212041317,SA2,Springvale,"2,714","1,492",995,215,475,"1,556","7,447",,"3,013","1,636","1,076",234,519,"1,654","8,132",,"3,379","1,804","1,183",248,542,"1,792","8,948",,"3,790","1,992","1,325",270,582,"1,979","9,940",,"4,199","2,209","1,492",299,637,"2,205","11,042"
2GMEL,212,21204,212041318,SA2,Springvale South,"1,724",778,674,65,147,651,"4,039",,"1,787",851,704,64,151,713,"4,271",,"1,849",922,738,65,155,773,"4,502",,"1,920",982,780,67,159,825,"4,733",,"2,001","1,049",821,71,165,883,"4,990"
2GMEL,212,21204,212041459,SA2,Noble Park - East,"1,433","1,137",646,118,284,"1,470","5,088",,"1,596","1,242",711,124,294,"1,593","5,560",,"1,764","1,326",794,131,305,"1,755","6,075",,"1,936","1,428",896,143,328,"1,930","6,660",,"2,091","1,549",999,158,362,"2,130","7,289"
2GMEL,212,21204,212041460,SA2,Noble Park - West,"2,335","1,362","1,044",158,296,"1,511","6,706",,"2,522","1,479","1,121",167,316,"1,606","7,211",,"2,743","1,576","1,203",173,329,"1,709","7,732",,"2,980","1,657","1,309",186,348,"1,811","8,291",,"3,225","1,755","1,421",199,372,"1,935","8,907"
2GMEL,212,21205,212051319,SA2,Ashwood - Chadstone,"2,329","1,778",822,122,588,"1,779","7,418",,"2,629","1,944",915,129,608,"1,946","8,170",,"2,916","2,091","1,012",136,632,"2,126","8,914",,"3,164","2,264","1,114",148,689,"2,344","9,724",,"3,380","2,500","1,220",161,747,"2,571","10,580"
2GMEL,212,21205,212051320,SA2,Clayton,"1,743","1,663",515,200,"1,767","1,947","7,835",,"2,246","2,105",585,246,"2,140","2,258","9,581",,"2,853","2,433",648,266,"2,253","2,478","10,930",,"3,586","2,545",770,278,"2,329","2,642","12,150",,"4,291","2,630",975,291,"2,376","2,848","13,411"
2GMEL,212,21205,212051321,SA2,Glen Waverley - East,"3,352","1,969",744,96,206,"1,300","7,668",,"3,443","2,049",761,103,225,"1,352","7,933",,"3,597","2,116",783,107,234,"1,398","8,235",,"3,786","2,174",807,111,237,"1,438","8,552",,"3,984","2,255",840,111,240,"1,451","8,882"
2GMEL,212,21205,212051322,SA2,Glen Waverley - West,"2,897","1,563",831,131,315,"1,253","6,989",,"3,213","1,748",914,142,353,"1,376","7,745",,"3,540","1,947",989,150,373,"1,489","8,488",,"3,883","2,162","1,074",159,392,"1,605","9,275",,"4,224","2,387","1,170",169,409,"1,739","10,099"
2GMEL,212,21205,212051323,SA2,Mount Waverley - North,"2,323","1,524",630,92,233,"1,132","5,934",,"2,423","1,612",652,99,251,"1,185","6,223",,"2,563","1,719",672,105,265,"1,228","6,550",,"2,725","1,841",699,108,274,"1,266","6,913",,"2,902","1,974",737,109,273,"1,318","7,313"
2GMEL,212,21205,212051324,SA2,Mount Waverley - South,"2,770","1,768",678,113,278,"1,444","7,051",,"3,011","1,898",730,120,300,"1,532","7,590",,"3,235","2,036",778,127,318,"1,597","8,090",,"3,446","2,214",819,135,338,"1,684","8,636",,"3,654","2,421",869,142,354,"1,799","9,237"
2GMEL,212,21205,212051325,SA2,Mulgrave,"2,947","1,956",810,120,245,"1,209","7,287",,"3,088","2,064",861,123,246,"1,293","7,675",,"3,230","2,130",918,127,250,"1,365","8,020",,"3,361","2,213",967,136,269,"1,423","8,370",,"3,504","2,357","1,015",147,293,"1,485","8,801"
2GMEL,212,21205,212051326,SA2,Oakleigh - Huntingdale,"2,974","2,008",820,199,612,"1,896","8,509",,"3,262","2,203",905,214,654,"2,063","9,301",,"3,581","2,454","1,004",231,701,"2,267","10,237",,"3,858","2,704","1,097",248,752,"2,482","11,141",,"4,110","2,971","1,196",265,789,"2,711","12,042"
2GMEL,212,21205,212051327,SA2,Wheelers Hill,"3,084","2,196",741,79,115,"1,230","7,445",,"3,082","2,289",756,78,115,"1,321","7,640",,"3,126","2,302",773,80,117,"1,401","7,800",,"3,197","2,307",788,85,122,"1,458","7,958",,"3,318","2,345",805,89,130,"1,470","8,158"
2GMEL,213,21301,213011328,SA2,Ardeer - Albion,805,724,410,95,230,"1,026","3,290",,908,794,442,99,236,"1,117","3,595",,"1,013",843,498,101,240,"1,211","3,907",,"1,102",897,562,111,253,"1,314","4,239",,"1,186",970,626,120,273,"1,434","4,610"
2GMEL,213,21301,213011329,SA2,Cairnlea,"1,617",421,406,45,60,236,"2,785",,"1,740",521,448,50,67,272,"3,096",,"1,789",622,468,53,72,292,"3,296",,"1,821",705,482,56,74,306,"3,444",,"1,859",763,498,58,72,322,"3,573"
2GMEL,213,21301,213011330,SA2,Deer Park - Derrimut,"3,929","1,736","1,354",145,265,"1,408","8,837",,"4,114","1,856","1,489",147,265,"1,569","9,440",,"4,124","1,943","1,616",156,269,"1,711","9,818",,"4,094","2,065","1,705",169,286,"1,849","10,167",,"4,078","2,274","1,779",183,310,"1,972","10,595"
2GMEL,213,21301,213011331,SA2,Delahey,"1,319",557,468,30,31,571,"2,976",,"1,316",681,473,28,30,662,"3,190",,"1,300",784,485,26,28,749,"3,373",,"1,283",852,506,24,26,821,"3,512",,"1,274",895,539,23,25,863,"3,620"
2GMEL,213,21301,213011332,SA2,Keilor Downs,"1,919","1,235",709,62,91,781,"4,797",,"1,865","1,361",693,61,85,842,"4,907",,"1,843","1,419",687,61,78,894,"4,981",,"1,828","1,439",690,63,77,931,"5,027",,"1,830","1,450",697,63,79,954,"5,073"
2GMEL,213,21301,213011333,SA2,Kings Park (Vic.),"1,850","1,065",928,88,118,798,"4,848",,"1,882","1,177",963,89,118,886,"5,115",,"1,925","1,255","1,016",94,115,972,"5,377",,"1,973","1,309","1,064",97,115,"1,058","5,617",,"2,032","1,359","1,106",100,118,"1,116","5,832"
2GMEL,213,21301,213011334,SA2,St Albans - North,"2,356","1,609","1,309",180,370,"1,745","7,568",,"2,498","1,718","1,375",188,386,"1,830","7,993",,"2,669","1,786","1,457",195,390,"1,911","8,408",,"2,847","1,846","1,556",204,403,"1,994","8,851",,"3,043","1,917","1,673",217,431,"2,102","9,382"
2GMEL,213,21301,213011335,SA2,St Albans - South,"2,079","1,213","1,100",169,281,"1,169","6,010",,"2,158","1,323","1,130",180,299,"1,252","6,343",,"2,265","1,404","1,178",184,305,"1,318","6,654",,"2,394","1,457","1,237",188,308,"1,387","6,971",,"2,533","1,509","1,316",192,316,"1,448","7,313"
2GMEL,213,21301,213011336,SA2,Sunshine,"1,186",781,471,115,265,924,"3,741",,"1,342",852,508,123,281,999,"4,105",,"1,619",997,617,144,316,"1,181","4,874",,"1,890","1,160",750,169,357,"1,376","5,701",,"2,134","1,348",875,195,408,"1,593","6,552"
2GMEL,213,21301,213011337,SA2,Sunshine North,"1,443",762,712,104,147,834,"4,002",,"1,564",840,766,113,160,888,"4,330",,"1,720",933,823,121,171,950,"4,719",,"1,890","1,022",907,130,183,"1,032","5,164",,"2,077","1,129","1,002",142,199,"1,122","5,671"
2GMEL,213,21301,213011338,SA2,Sunshine West,"2,337","1,502","1,096",162,291,"1,324","6,712",,"2,479","1,587","1,144",166,301,"1,404","7,080",,"2,655","1,615","1,225",169,303,"1,467","7,434",,"2,831","1,634","1,313",175,312,"1,524","7,790",,"3,015","1,683","1,409",185,334,"1,592","8,219"
2GMEL,213,21301,213011339,SA2,Sydenham,"1,849",761,584,73,108,709,"4,084",,"1,869",899,622,73,109,819,"4,391",,"1,860","1,023",644,72,109,913,"4,620",,"1,851","1,123",657,70,107,993,"4,800",,"1,865","1,192",669,67,104,"1,050","4,947"
